18.6130 6.44556×10−13 3.29411×10−14 43.1360 1.02174×10−12 5.17138×10−14
19.2260 9.33930×10−13 4.47563×10−14 43.7490 9.63183×10−13 4.86827×10−14
19.8390 1.25868×10−12 5.97912×10−14 44.3620 9.08994×10−13 4.58573×10−14
20.4520 1.57020×10−12 7.48792×10−14 44.9750 8.59141×10−13 4.32447×10−14
21.0650 1.85107×10−12 8.83457×10−14 45.5880 8.13553×10−13 4.08459×10−14
21.6780 2.10084×10−12 1.00069×10−13 46.2010 7.72058×10−13 3.86552×10−14
22.2910 2.32395×10−12 1.10393×10−13 46.8140 7.34446×10−13 3.66663×10−14
22.9050 2.52370×10−12 1.19612×10−13 47.4270 7.00461×10−13 3.48679×10−14
23.5180 2.70178×10−12 1.27874×10−13 48.0400 6.69814×10−13 3.32469×10−14
24.1310 2.85808×10−12 1.35188×10−13 48.6530 6.42198×10−13 3.17873×10−14
24.7440 2.99156×10−12 1.41512×10−13 49.2660 6.17329×10−13 3.04747×10−14
25.3570 3.10112×10−12 1.46795×10−13 49.8790 5.94884×10−13 2.92940×10−14
25.9700 3.18620×10−12 1.50985×10−13 50.4920 5.74611×10−13 2.82294×10−14
26.5830 3.24716×10−12 1.54108×10−13 51.1060 5.56242×10−13 2.72683×10−14
27.1960 3.28511×10−12 1.56213×10−13 51.7190 5.39523×10−13 2.63966×10−14
27.8090 3.30037×10−12 1.57302×10−13 52.3320 5.24258×10−13 2.56023×10−14
28.4220 3.29144×10−12 1.57307×10−13 52.9450 5.10232×10−13 2.48767×10−14
29.0350 3.25471×10−12 1.56004×10−13 53.5580 4.97287×10−13 2.42082×10−14
29.6480 3.18770×10−12 1.53273×10−13 54.1710 4.85267×10−13 2.35896×10−14
30.2610 3.09338×10−12 1.49200×10−13 54.7840 4.74048×10−13 2.30147×10−14
30.8740 2.97984×10−12 1.44158×10−13 55.3970 4.63511×10−13 2.24764×10−14
31.4870 2.85637×10−12 1.38604×10−13 56.0100 4.53568×10−13 2.19688×10−14
32.1010 2.73006×10−12 1.32856×10−13 56.6230 4.44124×10−13 2.14893×10−14
32.7140 2.60434×10−12 1.27098×10−13 57.2360 4.35115×10−13 2.10321×10−14
33.3270 2.48072×10−12 1.21386×10−13 57.8490 4.26490×10−13 2.05957×10−14
