1300.60 2.62990×10−11 1.22020×10−12 1324.72 2.85210×10−11 1.38850×10−12
1301.21 3.03550×10−11 1.36860×10−12 1325.33 2.73070×10−11 1.32890×10−12
1301.81 3.47920×10−11 1.53860×10−12 1325.93 2.61150×10−11 1.26950×10−12
1302.41 3.95300×10−11 1.72670×10−12 1326.53 2.49540×10−11 1.21080×10−12
1303.02 4.44770×10−11 1.92840×10−12 1327.14 2.38340×10−11 1.15380×10−12
1303.62 4.95330×10−11 2.13850×10−12 1327.74 2.27690×10−11 1.09930×10−12
1304.22 5.45910×10−11 2.35170×10−12 1328.34 2.17670×10−11 1.04800×10−12
1304.82 5.95410×10−11 2.56280×10−12 1328.94 2.08340×10−11 1.00010×10−12
1305.43 6.42690×10−11 2.76650×10−12 1329.55 1.99730×10−11 9.55990×10−13
1306.03 6.86660×10−11 2.95760×10−12 1330.15 1.91810×10−11 9.15430×10−13
1306.63 7.26240×10−11 3.13150×10−12 1330.75 1.84550×10−11 8.78250×10−13
1307.24 7.60440×10−11 3.28370×10−12 1331.36 1.77880×10−11 8.44140×10−13
1307.84 7.88430×10−11 3.41040×10−12 1331.96 1.71750×10−11 8.12760×10−13
1308.44 8.09520×10−11 3.50870×10−12 1332.56 1.66070×10−11 7.83770×10−13
1309.05 8.23270×10−11 3.57660×10−12 1333.17 1.60800×10−11 7.56850×10−13
1309.65 8.29460×10−11 3.61320×10−12 1333.77 1.55870×10−11 7.31740×10−13
1310.25 8.28180×10−11 3.61870×10−12 1334.37 1.51250×10−11 7.08190×10−13
1310.85 8.19750×10−11 3.59450×10−12 1334.97 1.46880×10−11 6.86020×10−13
1311.46 8.04770×10−11 3.54300×10−12 1335.58 1.42740×10−11 6.65070×10−13
1312.06 7.84040×10−11 3.46720×10−12 1336.18 1.38800×10−11 6.45200×10−13
1312.66 7.58500×10−11 3.37110×10−12 1336.78 1.35050×10−11 6.26310×10−13
1313.27 7.29210×10−11 3.25870×10−12 1337.39 1.31470×10−11 6.08310×10−13
1313.87 6.97250×10−11 3.13430×10−12 1337.99 1.28040×10−11 5.91130×10−13
1314.47 6.63690×10−11 3.00210×10−12 1338.59 1.24750×10−11 5.74710×10−13
1315.07 6.29500×10−11 2.86600×10−12 1339.20 1.21590×10−11 5.58990×10−13
1315.68 5.95530×10−11 2.72930×10−12 1339.80 1.18550×10−11 5.43920×10−13
1316.28 5.62470×10−11 2.59510×10−12 1340.40 1.15620×10−11 5.29460×10−13
1316.88 5.30870×10−11 2.46550×10−12 1341.01 1.12800×10−11 5.15560×10−13
1317.49 5.01120×10−11 2.34220×10−12 1341.61 1.10090×10−11 5.02180×10−13
1318.09 4.73460×10−11 2.22640×10−12 1342.21 1.07460×10−11 4.89310×10−13
1318.69 4.48000×10−11 2.11860×10−12 1342.81 1.04920×10−11 4.76890×10−13
1319.30 4.24770×10−11 2.01920×10−12 1343.42 1.02470×10−11 4.64920×10−13
1319.90 4.03670×10−11 1.92780×10−12 1344.02 1.00090×10−11 4.53350×10−13
1320.50 3.84570×10−11 1.84420×10−12 1344.62 9.77880×10−12 4.42170×10−13
1321.10 3.67240×10−11 1.76750×10−12 1345.23 9.55540×10−12 4.31350×10−13
1321.71 3.51420×10−11 1.69680×10−12 1345.83 9.33880×10−12 4.20880×10−13
1322.31 3.36830×10−11 1.63080×10−12 1346.43 9.12840×10−12 4.10740×10−13
1322.92 3.23170×10−11 1.56820×10−12 1347.04 8.92390×10−12 4.00910×10−13
1323.52 3.10150×10−11 1.50770×10−12 1347.64 8.72520×10−12 3.91370×10−13
1324.12 2.97540×10−11 1.44810×10−12 1348.24 8.53200×10−12 3.82110×10−13
1348.84 8.34390×10−12 3.73130×10−13 1372.96 3.58780×10−12 1.53170×10−13
1349.45 8.16090×10−12 3.64390×10−13 1373.57 3.51560×10−12 1.49970×10−13
1350.05 7.98260×10−12 3.55910×10−13 1374.17 3.44500×10−12 1.46840×10−13
1350.65 7.80890×10−12 3.47660×10−13 1374.77 3.37590×10−12 1.43790×10−13
1351.26 7.63960×10−12 3.39630×10−13 1375.38 3.30820×10−12 1.40800×10−13
1351.86 7.47460×10−12 3.31820×10−13 1375.98 3.24210×10−12 1.37890×10−13
1352.46 7.31370×10−12 3.24230×10−13 1376.58 3.17730×10−12 1.35040×10−13
1353.06 7.15680×10−12 3.16830×10−13 1377.19 3.11400×10−12 1.32260×10−13
1353.67 7.00370×10−12 3.09620×10−13 1377.79 3.05200×10−12 1.29540×10−13
1354.27 6.85420×10−12 3.02610×10−13 1378.39 2.99130×10−12 1.26890×10−13
1354.87 6.70840×10−12 2.95770×10−13 1378.99 2.93190×10−12 1.24290×10−13
1355.48 6.56600×10−12 2.89110×10−13 1379.60 2.87380×10−12 1.21760×10−13
1356.08 6.42700×10−12 2.82620×10−13 1380.20 2.81690×10−12 1.19280×10−13
1356.68 6.29130×10−12 2.76300×10−13 1380.80 2.76130×10−12 1.16860×10−13
1357.29 6.15870×10−12 2.70130×10−13 1381.41 2.70680×10−12 1.14490×10−13
1357.89 6.02920×10−12 2.64120×10−13 1382.01 2.65350×10−12 1.12180×10−13
1358.49 5.90270×10−12 2.58260×10−13 1382.61 2.60130×10−12 1.09920×10−13
1359.09 5.77910×10−12 2.52540×10−13 1383.22 2.55020×10−12 1.07710×10−13
1359.70 5.65830×10−12 2.46960×10−13 1383.82 2.50020×10−12 1.05560×10−13
1360.30 5.54020×10−12 2.41520×10−13 1384.42 2.45130×10−12 1.03450×10−13
1360.91 5.42490×10−12 2.36210×10−13 1385.03 2.40340×10−12 1.01380×10−13
1361.51 5.31210×10−12 2.31040×10−13 1385.63 2.35640×10−12 9.93670×10−14
1362.11 5.20190×10−12 2.25990×10−13 1386.23 2.31050×10−12 9.73960×10−14
1362.71 5.09420×10−12 2.21060×10−13 1386.83 2.26560×10−12 9.54690×10−14
1363.32 4.98890×10−12 2.16250×10−13 1387.44 2.22160×10−12 9.35850×10−14
1363.92 4.88590×10−12 2.11550×10−13 1388.04 2.17850×10−12 9.17430×10−14
1364.52 4.78530×10−12 2.06970×10−13 1388.64 2.13630×10−12 8.99420×10−14
1365.13 4.68680×10−12 2.02500×10−13 1389.25 2.09500×10−12 8.81810×10−14
1365.73 4.59060×10−12 1.98140×10−13 1389.85 2.05460×10−12 8.64590×10−14
1366.33 4.49640×10−12 1.93880×10−13 1390.45 2.01500×10−12 8.47750×10−14
1366.94 4.40440×10−12 1.89720×10−13 1391.06 1.97620×10−12 8.31290×10−14
1367.54 4.31440×10−12 1.85660×10−13 1391.66 1.93830×10−12 8.15180×10−14
1368.14 4.22630×10−12 1.81700×10−13 1392.26 1.90110×10−12 7.99430×10−14
1368.74 4.14020×10−12 1.77830×10−13 1392.86 1.86470×10−12 7.84020×10−14
1369.35 4.05600×10−12 1.74050×10−13 1393.47 1.82910×10−12 7.68950×10−14
1369.95 3.97360×10−12 1.70360×10−13 1394.07 1.79410×10−12 7.54210×10−14
1370.55 3.89300×10−12 1.66760×10−13 1394.67 1.76000×10−12 7.39800×10−14
1371.16 3.81420×10−12 1.63240×10−13 1395.28 1.72650×10−12 7.25690×10−14
1371.76 3.73710×10−12 1.59800×10−13 1395.88 1.69370×10−12 7.11890×10−14
