1304.67 13.96 (02) 13.95 (02) 13.64 (02) 13.49 (02) 13.40 (02) Caldwell
1305.68 13.89 (02) 13.81 (02) 13.49 (02) 13.33 (02) 13.26 (02) Caldwell
1306.67 13.84 (02) 13.74 (02) 13.37 (02) 13.20 (02) 13.14 (02) Rines
1307.64 13.82 (02) 13.67 (02) 13.27 (02) 13.09 (02) 13.05 (02) Rines
1308.63 13.84 (02) 13.66 (02) 13.21 (02) 13.02 (02) 12.99 (02) Rines
1309.63 13.89 (02) 13.68 (02) 13.17 (02) 12.97 (02) 12.94 (02) Rines
1310.73 13.99 (02) 13.72 (02) 13.14 (02) 12.94 (02) 12.91 (02) McIntosh
1311.64 14.12 (03) 13.80 (02) 13.14 (02) 12.93 (02) 12.91 (02) McIntosh
1312.70 14.30 (03) 13.92 (02) 13.17 (02) 12.95 (02) 12.90 (02) Garnavich
1313.66 14.46 (03) 14.07 (02) 13.23 (02) 12.98 (02) 12.93 (02) Dendy
1314.65 14.67 (03) 14.24 (02) 13.31 (02) 13.03 (02) 12.95 (02) Dendy
1315.68 14.84 (03) 14.43 (02) 13.42 (02) 13.10 (02) 12.99 (02) Dendy
1316.65 15.06 (04) 14.61 (02) 13.52 (02) 13.17 (02) 13.01 (02) Pahre
1318.65 15.38 (05) 14.97 (02) 13.76 (02) 13.33 (02) 13.08 (02) Pahre
1335.69 16.50 (07) 16.21 (03) 15.08 (03) 14.65 (03) 14.19 (03) Szentgyorgyi
1338.66 16.57 (07) 16.33 (03) 15.21 (03) 14.81 (03) 14.36 (03) Szentgyorgyi
1340.66 16.63 (07) 16.40 (03) 15.29 (03) 14.93 (03) 14.48 (03) Szentgyorgyi
1342.67 16.71 (10) 16.45 (05) 15.37 (05) 15.03 (06) 14.59 (06) Szentgyorgyi
1348.66 16.68 (15) 16.60 (08) 15.59 (06) 15.35 (09) 14.91 (09) Falco
1350.65 16.77 (07) 16.66 (04) 15.65 (03) 15.42 (04) 15.00 (04) Falco
1487.97 20.67 (30) 19.72 (05) 19.62 (05) 19.61 (05) 18.80 (05) Stanek
1521.99 99 (99)   20.39 (20) 20.17 (12) 20.38 (20) 19.45 (30) Garnavich
