56610.13 18.466 (0.024) 18.101 (0.021) 20.082 (0.172) 18.230 (0.017) 18.027 (0.020) 18.309 (0.046)
56611.12 17.803 (0.020) 17.501 (0.015) 99 (99) 17.595 (0.013) 17.435 (0.018) 17.632 (0.029)
56612.14 17.332 (0.014) 17.134 (0.014) 18.265 (0.063) 17.193 (0.013) 17.056 (0.012) 17.166 (0.019)
56613.19 16.937 (0.019) 16.768 (0.013) 99 (99) 16.803 (0.011) 16.654 (0.011) 16.740 (0.013)
56614.10 16.604 (0.009) 16.482 (0.008) 17.247 (0.023) 16.497 (0.008) 16.362 (0.007) 16.447 (0.011)
56615.13 16.327 (0.009) 16.184 (0.007) 99 (99) 16.192 (0.006) 16.057 (0.006) 16.147 (0.008)
56617.12 15.841 (0.006) 15.720 (0.007) 99 (99) 15.711 (0.006) 15.609 (0.008) 15.722 (0.016)
56618.12 15.656 (0.005) 15.560 (0.006) 16.256 (0.009) 15.539 (0.005) 15.441 (0.006) 15.603 (0.007)
56619.10 15.541 (0.006) 15.411 (0.009) 16.145 (0.009) 15.395 (0.008) 15.288 (0.009) 15.474 (0.013)
56620.11 15.442 (0.007) 15.352 (0.008) 16.112 (0.012) 15.304 (0.007) 15.210 (0.012) 15.486 (0.012)
56621.11 15.368 (0.007) 15.278 (0.006) 16.111 (0.029) 15.296 (0.006) 15.168 (0.006) 15.505 (0.018)
56622.10 15.343 (0.005) 15.216 (0.005) 16.142 (0.009) 15.202 (0.005) 15.109 (0.006) 15.423 (0.007)
56623.09 15.343 (0.006) 15.181 (0.008) 16.191 (0.011) 15.189 (0.005) 15.099 (0.009) 15.469 (0.011)
56624.07 15.361 (0.007) 15.167 (0.006) 16.270 (0.013) 15.185 (0.005) 15.068 (0.006) 15.480 (0.010)
56625.09 15.401 (0.006) 15.176 (0.006) 16.397 (0.014) 15.211 (0.005) 15.059 (0.007) 15.507 (0.009)
56630.08 15.956 (0.011) 15.388 (0.012) 17.190 (0.026) 15.622 (0.010) 15.322 (0.012) 15.841 (0.016)
56631.09 16.124 (0.007) 15.430 (0.006) 17.421 (0.021) 15.703 (0.006) 15.360 (0.007) 15.846 (0.013)
56632.09 16.280 (0.008) 15.509 (0.007) 17.492 (0.015) 15.818 (0.005) 15.430 (0.008) 15.883 (0.011)
56633.08 16.442 (0.011) 15.607 (0.008) 17.711 (0.018) 15.953 (0.009) 15.462 (0.010) 15.895 (0.013)
56635.08 16.781 (0.014) 15.794 (0.007) 18.116 (0.030) 16.252 (0.006) 15.558 (0.006) 15.895 (0.009)
56636.08 16.925 (0.014) 15.860 (0.009) 18.266 (0.036) 16.392 (0.008) 15.612 (0.009) 15.867 (0.013)
56637.07 17.107 (0.021) 15.958 (0.008) 18.307 (0.047) 16.514 (0.008) 15.653 (0.006) 15.859 (0.008)
56638.10 17.224 (0.017) 16.050 (0.008) 18.535 (0.034) 16.678 (0.010) 15.693 (0.008) 15.862 (0.011)
56640.06 17.447 (0.023) 16.206 (0.014) 18.668 (0.047) 16.880 (0.012) 15.804 (0.008) 15.886 (0.009)
56641.09 17.553 (0.031) 16.295 (0.011) 18.941 (0.084) 17.012 (0.015) 15.890 (0.007) 15.928 (0.009)
56644.05 17.815 (0.026) 16.557 (0.011) 19.145 (0.092) 17.279 (0.019) 16.131 (0.008) 16.050 (0.010)
56645.05 17.872 (0.019) 16.650 (0.010) 18.997 (0.050) 17.354 (0.014) 16.232 (0.008) 16.123 (0.013)
56646.05 17.939 (0.013) 16.694 (0.010) 19.157 (0.030) 17.392 (0.013) 16.317 (0.011) 16.220 (0.013)
56647.05 17.971 (0.014) 16.764 (0.012) 19.224 (0.029) 17.440 (0.012) 16.399 (0.011) 16.318 (0.013)
56648.05 18.079 (0.015) 16.830 (0.010) 19.307 (0.035) 17.507 (0.014) 16.473 (0.011) 16.397 (0.014)
56649.05 18.089 (0.015) 16.876 (0.011) 19.376 (0.039) 17.529 (0.012) 16.539 (0.012) 16.506 (0.014)
56651.07 18.179 (0.018) 17.017 (0.013) 19.405 (0.038) 17.634 (0.014) 16.694 (0.013) 16.634 (0.018)
56652.09 18.222 (0.023) 17.061 (0.013) 19.407 (0.068) 17.700 (0.015) 16.760 (0.017) 16.824 (0.026)
56653.04 18.251 (0.017) 17.121 (0.013) 19.436 (0.028) 17.765 (0.017) 16.818 (0.017) 16.767 (0.023)
56654.04 18.274 (0.020) 17.154 (0.012) 19.442 (0.031) 17.761 (0.013) 16.824 (0.012) 16.808 (0.018)
56656.04 18.408 (0.027) 17.273 (0.020) 19.509 (0.053) 17.842 (0.016) 16.913 (0.014) 16.911 (0.019)
56657.07 18.360 (0.016) 17.276 (0.015) 19.634 (0.041) 17.840 (0.015) 16.971 (0.015) 16.976 (0.016)
56659.06 18.330 (0.018) 99 (99) 	99 (99) 99 (99) 99 (99) 99 (99)
