800.58 13.321 ± 0.046 13.025 ± 0.013 12.955 ± 0.024 12.942 ± 0.026
802.56 12.148 ± 0.028 12.049 ± 0.011 11.941 ± 0.020 11.882 ± 0.022
803.55 11.690 ± 0.023 11.643 ± 0.016 11.512 ± 0.015 11.471 ± 0.024
804.56 11.310 ± 0.025 11.300 ± 0.009 11.170 ± 0.012 11.147 ± 0.017
808.54 10.346 ± 0.045 10.466 ± 0.029 10.336 ± 0.011 10.402 ± 0.025
815.53 9.981 ± 0.015 10.012 ± 0.012 10.011 ± 0.025 10.320 ± 0.027
816.53 10.072 ± 0.052 9.998 ± 0.008 10.006 ± 0.035 10.362 ± 0.036
822.52 10.326 ± 0.017 10.134 ± 0.006 10.181 ± 0.002 10.630 ± 0.026
823.53 10.405 ± 0.015 10.185 ± 0.014 10.283 ± 0.015 10.691 ± 0.013
825.52 10.623 ± 0.030 10.311 ± 0.009 10.428 ± 0.027 10.840 ± 0.018
827.51 10.829 ± 0.028 10.459 ± 0.016 10.580 ± 0.024 10.918 ± 0.025
829.51 11.043 ± 0.057 10.574 ± 0.019 10.655 ± 0.017 10.898 ± 0.020
830.52 11.167 ± 0.014 10.629 ± 0.011 10.672 ± 0.021 10.894 ± 0.015
840.50 12.312 ± 0.039 11.180 ± 0.013 10.865 ± 0.024 10.661 ± 0.026
841.50 12.407 ± 0.049 11.237 ± 0.011 10.925 ± 0.016 10.672 ± 0.031
842.50 12.503 ± 0.038 11.294 ± 0.006 10.958 ± 0.015 10.680 ± 0.026
852.90 13.098 ± 0.021 11.921 ± 0.014 11.615 ± 0.033 11.255 ± 0.022
864.90 13.340 ± 0.037 12.332 ± 0.012 12.085 ± 0.013 11.884 ± 0.010
868.49 13.364 ± 0.017 12.441 ± 0.014 12.190 ± 0.016 12.038 ± 0.040
870.90 13.375 ± 0.011 12.478 ± 0.016 12.256 ± 0.008 12.141 ± 0.005
883.92 13.584 ± 0.006 12.826 ± 0.010 12.688 ± 0.011 12.676 ± 0.014
887.92 13.598 ± 0.012 12.927 ± 0.006 12.796 ± 0.005 12.832 ± 0.013
889.92 13.699 ± 0.037 12.968 ± 0.019 12.904 ± 0.026 12.909 ± 0.012
890.93 13.658 ± 0.021 12.988 ± 0.019 12.902 ± 0.011 12.957 ± 0.018
898.91 13.761 ± 0.037 13.217 ± 0.014 13.155 ± 0.019 13.245 ± 0.027
905.94 13.831 ± 0.033 13.398 ± 0.013 13.353 ± 0.017 13.470 ± 0.036
907.92 13.877 ± 0.026 13.442 ± 0.018 13.445 ± 0.027 13.580 ± 0.039
937.92 14.253 ± 0.026 14.124 ± 0.015 14.325 ± 0.026 14.423 ± 0.036
948.86 14.420 ± 0.036 14.336 ± 0.023 14.639 ± 0.031 14.702 ± 0.050
954.82 14.524 ± 0.044 14.465 ± 0.021 14.757 ± 0.028 14.803 ± 0.040
966.90 14.716 ± 0.033 14.623 ± 0.024 14.951 ± 0.032 15.034 ± 0.053
973.67 14.792 ± 0.044 14.754 ± 0.039 15.165 ± 0.060 15.174 ± 0.056
978.67 14.884 ± 0.046 14.894 ± 0.026 15.340 ± 0.048 15.242 ± 0.054
